Date,Province,Health Zone,Confirmed Cases,Confirmed cases in the last 21 days,Death Among Confirmed Cases,Probable Cases,Total Cases,Total Deaths
5/28/19,Noth Kivu,Kyondo,19,2,13,2,21,15
5/28/19,Noth Kivu,Lubero,11,7,2,2,13,4
5/28/19,Noth Kivu,Mabalako,191,73,135,16,208,151
5/28/19,Noth Kivu,Manguredjipa,11,6,5,0,11,5
5/28/19,Noth Kivu,Masereka,37,3,14,3,43,20
5/28/19,Noth Kivu,Musienene,55,23,24,1,56,25
5/28/19,Noth Kivu,Mutwanga,5,0,3,0,5,3
5/28/19,Noth Kivu,Oicha,41,0,20,0,41,20
5/28/19,Noth Kivu,Vuhovi,83,4,29,13,96,42
5/28/19,Ituri,Bunia,1,0,1,0,1,1
5/28/19,Ituri,Komanda,28,0,10,9,37,19
5/28/19,Ituri,Mandima,132,22,78,4,135,82
5/28/19,Ituri,Nyakunde,1,0,1,0,1,1
5/28/19,Ituri,Rwampara,1,0,1,0,1,1
5/28/19,Ituri,Tchomia,2,0,2,0,2,2
6/4/19,Noth Kivu,Alimbongo,1,0,0,0,1,0
6/4/19,Noth Kivu,Beni,314,181,181,9,323,190
6/4/19,Noth Kivu,Biena,8,8,8,1,9,9
6/4/19,Noth Kivu,Butembo,231,248,248,0,231,248
6/4/19,Noth Kivu,Kalunguta,106,48,48,15,121,63
6/4/19,Noth Kivu,Katwa,587,392,392,16,603,408
6/4/19,Noth Kivu,Kayna,8,5,5,0,8,5
6/4/19,Noth Kivu,Kyondo,19,13,13,2,21,15
6/4/19,Noth Kivu,Lubero,11,2,2,2,13,4
6/4/19,Noth Kivu,Mabalako,221,158,158,16,237,174
6/4/19,Noth Kivu,Manguredjipa,12,6,6,0,12,6
6/4/19,Noth Kivu,Masereka,38,15,15,6,44,21
6/4/19,Noth Kivu,Musienene,58,25,25,1,59,26
6/4/19,Noth Kivu,Mutwanga,5,3,3,0,5,3
6/4/19,Noth Kivu,Oicha,41,20,20,0,41,20
6/4/19,Noth Kivu,Vuhovi,85,31,31,13,98,44
6/4/19,Ituri,Bunia,1,1,1,0,1,1
6/4/19,Ituri,Komanda,28,10,10,9,37,19
6/4/19,Ituri,Mandima,136,82,82,4,140,86
6/4/19,Ituri,Nyakunde,1,1,1,0,1,1
6/4/19,Ituri,Rwampara,1,1,1,0,1,1
6/4/19,Ituri,Tchomia,2,2,2,0,2,2
